batch,index,path,top_level,track,lines,size_bytes,risk_hint
1,1,College/Academics/AcademicMetricsStore.swift,College,B-app-feature,190,7527,
1,2,College/Academics/AcademicsAuditPanel.swift,College,B-app-feature,4,122,
1,3,College/Academics/AcademicsView.swift,College,B-app-feature,2734,120387,large-file
1,4,College/Academics/DegreeRequirementsFullView.swift,College,B-app-feature,363,13883,
1,5,College/Academics/GPACalculation.swift,College,B-app-feature,35,1189,
1,6,College/App/AppActivityCoordinator.swift,College,A-runtime-critical-app,111,3351,
1,7,College/App/AppCompatibility.swift,College,A-runtime-critical-app,46,1205,
1,8,College/App/AppHeaderView.swift,College,A-runtime-critical-app,165,6305,
1,9,College/App/AppToolbarCoordinator.swift,College,A-runtime-critical-app,820,31982,
1,10,College/App/CatalogMenuBarProgressController.swift,College,A-runtime-critical-app,127,4761,
1,11,College/App/CatalogMenuBarProgressNotifier.swift,College,A-runtime-critical-app,27,810,
1,12,College/App/CollegeApp.swift,College,A-runtime-critical-app,645,28079,
1,13,College/App/CollegeAppDelegate.swift,College,A-runtime-critical-app,147,6011,
1,14,College/App/ContentView.swift,College,A-runtime-critical-app,1324,54170,large-file
1,15,College/App/LMSPortalConfiguration.swift,College,A-runtime-critical-app,101,3652,
1,16,College/App/LaunchPreloadCoordinator.swift,College,A-runtime-critical-app,695,24950,
1,17,College/App/LaunchUpdateCheckService.swift,College,A-runtime-critical-app,327,12980,
1,18,College/App/LaunchUpdateModels.swift,College,A-runtime-critical-app,40,928,
1,19,College/App/MainContentSignals.swift,College,A-runtime-critical-app,20,525,
1,20,College/App/ModalCoordinator.swift,College,A-runtime-critical-app,77,3730,
1,21,College/App/OnboardingPreferenceBridge.swift,College,A-runtime-critical-app,51,2251,
1,22,College/App/OnboardingRootView.swift,College,A-runtime-critical-app,2191,91588,large-file
1,23,College/App/PlannerMenuNotifications.swift,College,A-runtime-critical-app,26,1294,
1,24,College/App/SessionTerminationTracker.swift,College,A-runtime-critical-app,22,946,
1,25,College/App/ShellToolbarPrincipalNavBar.swift,College,A-runtime-critical-app,97,3523,
1,26,College/App/SidebarView.swift,College,A-runtime-critical-app,417,15641,
1,27,College/App/TahoeGlassPane.swift,College,A-runtime-critical-app,91,3058,
1,28,College/App/UITestLaunchFlags.swift,College,A-runtime-critical-app,51,2020,
1,29,College/App/WebShortcutStore.swift,College,A-runtime-critical-app,71,2346,
1,30,College/Brightspace/BrightspaceDownloadManager.swift,College,B-app-feature,224,9843,
1,31,College/Brightspace/BrightspaceImportSheet.swift,College,B-app-feature,336,13193,
1,32,College/Brightspace/BrightspaceKeychainService.swift,College,B-app-feature,91,3157,
1,33,College/Brightspace/BrightspaceView.swift,College,B-app-feature,293,12369,
1,34,College/Brightspace/BrightspaceWebCoordinator.swift,College,B-app-feature,778,30603,
1,35,College/Calendar/AddCalendarItemOverlay.swift,College,A-runtime-critical-app,5218,234487,large-file
1,36,College/Calendar/AddCalendarItemOverlaySizing.swift,College,A-runtime-critical-app,17,465,
1,37,College/Calendar/AddTaskOverlay.swift,College,A-runtime-critical-app,1335,52567,large-file
1,38,College/Calendar/AppleCalendarIntegration.swift,College,A-runtime-critical-app,132,5408,
1,39,College/Calendar/CalendarCacheEngine.swift,College,A-runtime-critical-app,332,11779,
1,40,College/Calendar/CalendarCourseLinker.swift,College,A-runtime-critical-app,212,8951,
1,41,College/Calendar/CalendarEditorNotifications.swift,College,A-runtime-critical-app,6,209,
1,42,College/Calendar/CalendarIntegrationManager.swift,College,A-runtime-critical-app,5047,208676,large-file
1,43,College/Calendar/CalendarReminderScheduler.swift,College,A-runtime-critical-app,206,7669,
1,44,College/Calendar/CalendarTimeZonePreference.swift,College,A-runtime-critical-app,89,3447,
1,45,College/Calendar/CalendarView.swift,College,A-runtime-critical-app,2910,117913,large-file
1,46,College/Calendar/EventColorOverrides.swift,College,A-runtime-critical-app,29,928,
