batch,index,path,track,lines,severity,tags,action,optimization_impact,finding,recommendation,validation
1,1,College/Academics/AcademicMetricsStore.swift,B-app-feature,190,Low,none,monitor,Low,No notable legacy/performance finding in current audit pass.,Retain for now; add owner/removal criteria if compatibility-related.,Build College scheme; run relevant tests/smoke path.
1,2,College/Academics/AcademicsAuditPanel.swift,B-app-feature,4,Low,none,monitor,Low,No notable legacy/performance finding in current audit pass.,Retain for now; add owner/removal criteria if compatibility-related.,Build College scheme; run relevant tests/smoke path.
1,3,College/Academics/AcademicsView.swift,B-app-feature,2734,Low,none,monitor,Low,No notable legacy/performance finding in current audit pass.,Retain for now; add owner/removal criteria if compatibility-related.,Build College scheme; run relevant tests/smoke path.
1,4,College/Academics/DegreeRequirementsFullView.swift,B-app-feature,363,Low,none,monitor,Low,No notable legacy/performance finding in current audit pass.,Retain for now; add owner/removal criteria if compatibility-related.,Build College scheme; run relevant tests/smoke path.
1,5,College/Academics/GPACalculation.swift,B-app-feature,35,Low,none,monitor,Low,No notable legacy/performance finding in current audit pass.,Retain for now; add owner/removal criteria if compatibility-related.,Build College scheme; run relevant tests/smoke path.
1,6,College/App/AppActivityCoordinator.swift,A-runtime-critical-app,111,Low,none,monitor,Low,No notable legacy/performance finding in current audit pass.,Retain for now; add owner/removal criteria if compatibility-related.,Build College scheme; run relevant tests/smoke path.
1,7,College/App/AppCompatibility.swift,A-runtime-critical-app,46,Low,none,monitor,Low,No notable legacy/performance finding in current audit pass.,Retain for now; add owner/removal criteria if compatibility-related.,Build College scheme; run relevant tests/smoke path.
1,8,College/App/AppHeaderView.swift,A-runtime-critical-app,165,Low,none,monitor,Low,No notable legacy/performance finding in current audit pass.,Retain for now; add owner/removal criteria if compatibility-related.,Build College scheme; run relevant tests/smoke path.
1,9,College/App/AppToolbarCoordinator.swift,A-runtime-critical-app,820,Low,none,monitor,Low,No notable legacy/performance finding in current audit pass.,Retain for now; add owner/removal criteria if compatibility-related.,Build College scheme; run relevant tests/smoke path.
1,10,College/App/CatalogMenuBarProgressController.swift,A-runtime-critical-app,127,Low,none,monitor,Low,No notable legacy/performance finding in current audit pass.,Retain for now; add owner/removal criteria if compatibility-related.,Build College scheme; run relevant tests/smoke path.
1,11,College/App/CatalogMenuBarProgressNotifier.swift,A-runtime-critical-app,27,Low,none,monitor,Low,No notable legacy/performance finding in current audit pass.,Retain for now; add owner/removal criteria if compatibility-related.,Build College scheme; run relevant tests/smoke path.
1,12,College/App/CollegeApp.swift,A-runtime-critical-app,645,Low,none,monitor,Low,No notable legacy/performance finding in current audit pass.,Retain for now; add owner/removal criteria if compatibility-related.,Build College scheme; run relevant tests/smoke path.
1,13,College/App/CollegeAppDelegate.swift,A-runtime-critical-app,147,Low,none,monitor,Low,No notable legacy/performance finding in current audit pass.,Retain for now; add owner/removal criteria if compatibility-related.,Build College scheme; run relevant tests/smoke path.
1,14,College/App/ContentView.swift,A-runtime-critical-app,1324,Low,none,monitor,Low,No notable legacy/performance finding in current audit pass.,Retain for now; add owner/removal criteria if compatibility-related.,Build College scheme; run relevant tests/smoke path.
1,15,College/App/LMSPortalConfiguration.swift,A-runtime-critical-app,101,Medium,legacy-data,monitor;delete,Low,Legacy UserDefaults key fallback retained.,Follow action class in rubric; validate with build/tests.,Build College scheme; run relevant tests/smoke path.
1,16,College/App/LaunchPreloadCoordinator.swift,A-runtime-critical-app,695,Medium,main-thread-work,optimize,Medium,Polling sleep loops in launch coordination.,"Measure baseline, move heavy work off hot path, and validate with build/tests.",Build College scheme; run relevant tests/smoke path.
1,17,College/App/LaunchUpdateCheckService.swift,A-runtime-critical-app,327,Medium,main-thread-work,optimize,Medium,Startup/update checks include repeated setup and synchronous file reads.,"Measure baseline, move heavy work off hot path, and validate with build/tests.",Build College scheme; run relevant tests/smoke path.
1,18,College/App/LaunchUpdateModels.swift,A-runtime-critical-app,40,Low,none,monitor,Low,No notable legacy/performance finding in current audit pass.,Retain for now; add owner/removal criteria if compatibility-related.,Build College scheme; run relevant tests/smoke path.
1,19,College/App/MainContentSignals.swift,A-runtime-critical-app,20,Low,none,monitor,Low,No notable legacy/performance finding in current audit pass.,Retain for now; add owner/removal criteria if compatibility-related.,Build College scheme; run relevant tests/smoke path.
1,20,College/App/ModalCoordinator.swift,A-runtime-critical-app,77,Low,none,monitor,Low,No notable legacy/performance finding in current audit pass.,Retain for now; add owner/removal criteria if compatibility-related.,Build College scheme; run relevant tests/smoke path.
1,21,College/App/OnboardingPreferenceBridge.swift,A-runtime-critical-app,51,Low,none,monitor,Low,No notable legacy/performance finding in current audit pass.,Retain for now; add owner/removal criteria if compatibility-related.,Build College scheme; run relevant tests/smoke path.
1,22,College/App/OnboardingRootView.swift,A-runtime-critical-app,2191,Medium,legacy-data,monitor;refactor,Medium,Legacy catoid fallback still active.,Follow action class in rubric; validate with build/tests.,Build College scheme; run relevant tests/smoke path.
1,23,College/App/PlannerMenuNotifications.swift,A-runtime-critical-app,26,Low,none,monitor,Low,No notable legacy/performance finding in current audit pass.,Retain for now; add owner/removal criteria if compatibility-related.,Build College scheme; run relevant tests/smoke path.
1,24,College/App/SessionTerminationTracker.swift,A-runtime-critical-app,22,Low,none,monitor,Low,No notable legacy/performance finding in current audit pass.,Retain for now; add owner/removal criteria if compatibility-related.,Build College scheme; run relevant tests/smoke path.
1,25,College/App/ShellToolbarPrincipalNavBar.swift,A-runtime-critical-app,97,Low,none,monitor,Low,No notable legacy/performance finding in current audit pass.,Retain for now; add owner/removal criteria if compatibility-related.,Build College scheme; run relevant tests/smoke path.
1,26,College/App/SidebarView.swift,A-runtime-critical-app,417,Low,none,monitor,Low,No notable legacy/performance finding in current audit pass.,Retain for now; add owner/removal criteria if compatibility-related.,Build College scheme; run relevant tests/smoke path.
1,27,College/App/TahoeGlassPane.swift,A-runtime-critical-app,91,Medium,dead-code-candidate,delete,Low,High-confidence likely unused file candidate.,"Verify references/dynamic use, then remove in cleanup wave.",Build College scheme; run relevant tests/smoke path.
1,28,College/App/UITestLaunchFlags.swift,A-runtime-critical-app,51,Low,none,monitor,Low,No notable legacy/performance finding in current audit pass.,Retain for now; add owner/removal criteria if compatibility-related.,Build College scheme; run relevant tests/smoke path.
1,29,College/App/WebShortcutStore.swift,A-runtime-critical-app,71,Low,none,monitor,Low,No notable legacy/performance finding in current audit pass.,Retain for now; add owner/removal criteria if compatibility-related.,Build College scheme; run relevant tests/smoke path.
1,30,College/Brightspace/BrightspaceDownloadManager.swift,B-app-feature,224,Low,none,monitor,Low,No notable legacy/performance finding in current audit pass.,Retain for now; add owner/removal criteria if compatibility-related.,Build College scheme; run relevant tests/smoke path.
1,31,College/Brightspace/BrightspaceImportSheet.swift,B-app-feature,336,Low,none,monitor,Low,No notable legacy/performance finding in current audit pass.,Retain for now; add owner/removal criteria if compatibility-related.,Build College scheme; run relevant tests/smoke path.
1,32,College/Brightspace/BrightspaceKeychainService.swift,B-app-feature,91,Low,none,monitor,Low,No notable legacy/performance finding in current audit pass.,Retain for now; add owner/removal criteria if compatibility-related.,Build College scheme; run relevant tests/smoke path.
1,33,College/Brightspace/BrightspaceView.swift,B-app-feature,293,Low,none,monitor,Low,No notable legacy/performance finding in current audit pass.,Retain for now; add owner/removal criteria if compatibility-related.,Build College scheme; run relevant tests/smoke path.
1,34,College/Brightspace/BrightspaceWebCoordinator.swift,B-app-feature,778,Low,none,monitor,Low,No notable legacy/performance finding in current audit pass.,Retain for now; add owner/removal criteria if compatibility-related.,Build College scheme; run relevant tests/smoke path.
1,35,College/Calendar/AddCalendarItemOverlay.swift,A-runtime-critical-app,5218,Low,none,monitor,Low,No notable legacy/performance finding in current audit pass.,Retain for now; add owner/removal criteria if compatibility-related.,Build College scheme; run relevant tests/smoke path.
