path	lines	module	coverage	risk_hint
College/App/ActivePageFocusedValue.swift	18	App	5c	Y
College/App/AppActivityCoordinator.swift	117	App	5c	Y
College/App/AppCompatibility.swift	52	App	5c	Y
College/App/AppHeaderView.swift	170	App	5c	Y
College/App/AppModels.swift	262	App	5c	Y
College/App/AppToolbarCoordinator.swift	847	App	5c	Y
College/App/AppleSiliconRequiredView.swift	49	App	5c	Y
College/App/AskCollegeCoordinator.swift	46	App	5c	Y
College/App/AutosaveNames.swift	11	App	5c	Y
College/App/BackgroundTaskCompliance.swift	32	App	5c	Y
College/App/CalendarMenuBarSummary.swift	44	App	5c	Y
College/App/CatalogMenuBarProgressController.swift	205	App	5c	Y
College/App/CatalogMenuBarProgressNotifier.swift	78	App	5c	Y
College/App/CollegeApp.swift	515	App	5c	Y
College/App/CollegeAppDelegate.swift	170	App	5c	Y
College/App/CollegeKeyboardShortcuts.swift	10	App	5c	Y
College/App/CollegeMenuBarRoot.swift	332	App	5c	Y
College/App/CollegeMenuBarStatusModel.swift	302	App	5c	Y
College/App/CollegeTestRuntime.swift	19	App	5c	Y
College/App/ContentView.swift	1360	App	5c	Y
College/App/LMSPortalConfiguration.swift	119	App	5c	Y
College/App/LaunchBootstrapCache.swift	48	App	5c	Y
College/App/LaunchPreloadCoordinator.swift	496	App	5c	Y
College/App/LaunchPreloadView.swift	420	App	5c	Y
College/App/LaunchShellPagePersistence.swift	20	App	5c	Y
College/App/LaunchStartupBudget.swift	57	App	5c	Y
College/App/MainContentSignals.swift	25	App	5c	Y
College/App/MainWindowToolbar.swift	181	App	5c	Y
College/App/ModalCoordinator.swift	94	App	5c	Y
College/App/NavigationSplitChromeCoordinator.swift	171	App	5c	Y
College/App/OnboardingPreferenceBridge.swift	74	App	5c	Y
College/App/OnboardingRootView.swift	2168	App	5c	Y
College/App/PlannerMenuNotifications.swift	29	App	5c	Y
College/App/SessionTerminationTracker.swift	27	App	5c	Y
College/App/ShellToolbarPrincipalNavBar.swift	100	App	5c	Y
College/App/SidebarView.swift	419	App	5c	Y
College/App/SplitViewAutosaveNameBridge.swift	90	App	5c	Y
College/App/StartupPhase.swift	24	App	5c	Y
College/App/Toolbar/AcademicsToolbarState.swift	16	App	5c	Y
College/App/Toolbar/CalendarToolbarState.swift	22	App	5c	Y
College/App/Toolbar/CareerToolbarState.swift	29	App	5c	Y
College/App/Toolbar/WebPortalToolbarState.swift	37	App	5c	Y
College/App/UITestLaunchFlags.swift	135	App	5c	Y
College/App/UITestPersistenceSeeder.swift	53	App	5c	Y
College/App/WebShortcutStore.swift	76	App	5c	Y
College/Core/Data/AppBackupManager.swift	226	Core	5c	Y
College/Core/Data/Persistence/AcademicProgressTypes.swift	82	Core	5c	Y
College/Core/Data/Persistence/CollegePersistence+AcademicComputation.swift	1035	Core	5c	Y
College/Core/Data/Persistence/CollegePersistence+AcademicIdentity.swift	187	Core	5c	Y
College/Core/Data/Persistence/CollegePersistence+AcademicProgress.swift	23	Core	5c	Y
College/Core/Data/Persistence/CollegePersistence+Calendar.swift	245	Core	5c	Y
College/Core/Data/Persistence/CollegePersistence+CallSiteShims.swift	161	Core	5c	Y
College/Core/Data/Persistence/CollegePersistence+Career.swift	218	Core	5c	Y
College/Core/Data/Persistence/CollegePersistence+Catalog.swift	552	Core	5c	Y
College/Core/Data/Persistence/CollegePersistence+ChangeTokens.swift	31	Core	5c	Y
College/Core/Data/Persistence/CollegePersistence+LegacyShims.swift	283	Core	5c	Y
College/Core/Data/Persistence/CollegePersistence+PlannerWrites.swift	192	Core	5c	Y
College/Core/Data/Persistence/CollegePersistence+ProfileShell.swift	77	Core	5c	Y
College/Core/Data/Persistence/CollegePersistence+ProgramRequirementsScrape.swift	208	Core	5c	Y
College/Core/Data/Persistence/CollegePersistence+Vault.swift	168	Core	5c	Y
College/Core/Data/Persistence/CollegePersistence.swift	251	Core	5c	Y
College/Core/Data/Repositories/CalendarRepository+EventWrites.swift	168	Core	5c	Y
College/Core/Data/Repositories/CalendarRepository+TaskWrites.swift	107	Core	5c	Y
College/Core/Data/Repositories/CalendarRepository+Writes.swift	145	Core	5c	Y
College/Core/Data/Repositories/CalendarRepository.swift	158	Core	5c	Y
College/Core/Data/Repositories/CareerRepository+ApplicationWrites.swift	382	Core	5c	Y
